Row Labels,CMS,ENE,ENV,FAM,FIN,HSS,MOB,NOC,PER,PPL,Q&I,RVM,TECH,TRC,TRN,TSP,All,,,,,
2023-11-03,49.22%,40.21%,32.08%,13.52%,44.77%,15.72%,72.33%,8.03%,0.00%,38.84%,26.20%,14.83%,28.54%,12.40%,9.12%,19.64%,16.24%,,,,,
2023-11-10,49.25%,40.21%,32.16%,13.71%,44.77%,15.92%,72.33%,8.03%,0.00%,38.84%,26.20%,14.88%,28.70%,12.78%,9.56%,18.71%,16.21%,,,,,
2023-11-17,49.25%,40.21%,32.16%,13.85%,44.77%,15.92%,72.33%,8.03%,0.00%,38.84%,26.20%,14.95%,28.46%,12.91%,9.56%,19.44%,16.35%,,,,,
2023-11-24,49.25%,40.21%,32.16%,13.99%,44.77%,15.89%,72.33%,8.23%,0.00%,38.84%,26.20%,17.94%,28.67%,12.99%,9.56%,19.73%,16.96%,,,,,
2023-12-01,50.91%,43.89%,33.41%,14.19%,46.71%,17.96%,72.54%,8.93%,0.00%,41.48%,26.81%,18.91%,29.61%,13.70%,13.18%,20.98%,17.74%,,,,,
2023-12-08,51.15%,43.89%,33.55%,14.51%,46.71%,18.41%,72.54%,8.93%,0.00%,41.48%,26.81%,19.30%,29.62%,13.70%,13.18%,20.98%,17.86%,,,,,
2023-12-15,51.15%,43.89%,33.55%,15.19%,46.71%,20.83%,72.54%,8.93%,0.00%,41.48%,29.59%,19.58%,29.69%,13.79%,13.18%,21.08%,18.06%,,,,,
2023-12-22,55.08%,47.92%,37.14%,16.70%,50.21%,24.17%,79.43%,9.88%,0.00%,44.17%,35.33%,21.78%,34.42%,15.52%,15.75%,22.12%,20.09%,,,,,
2023-12-29,58.66%,47.92%,41.11%,16.47%,50.46%,24.43%,79.43%,10.07%,0.00%,44.17%,36.20%,21.78%,34.97%,15.77%,18.30%,18.70%,19.93%,,,,,
2024-01-05,58.66%,47.92%,41.11%,16.80%,51.24%,24.43%,79.43%,10.07%,0.00%,44.17%,35.83%,21.37%,35.25%,16.11%,18.77%,18.80%,20.03%,,,,,
2024-01-12,58.66%,47.92%,41.11%,17.92%,51.24%,24.87%,79.43%,10.07%,0.00%,44.17%,35.83%,22.10%,35.30%,17.22%,18.77%,19.35%,20.58%,,,,,
2024-01-19,58.66%,47.64%,41.83%,18.07%,51.24%,24.17%,79.64%,9.82%,0.00%,44.17%,35.83%,22.56%,37.83%,17.20%,19.58%,20.07%,21.16%,,,,,
2024-01-26,58.66%,47.64%,41.83%,18.22%,51.24%,24.17%,79.64%,9.82%,0.00%,44.78%,35.96%,22.66%,37.90%,20.74%,18.80%,20.88%,21.94%,,,,,
2024-02-02,58.60%,47.51%,40.88%,19.76%,54.23%,24.23%,81.47%,9.88%,0.00%,44.27%,41.36%,23.80%,38.18%,21.66%,21.36%,23.64%,22.88%,,,,,
2024-02-09,58.60%,47.76%,41.01%,19.84%,54.23%,25.18%,82.08%,10.30%,0.00%,44.41%,41.42%,24.44%,39.21%,22.47%,22.19%,24.52%,23.54%,,,,,
2024-02-16,65.95%,47.76%,41.64%,20.28%,54.48%,25.18%,82.08%,10.44%,0.00%,45.41%,43.19%,24.49%,41.33%,22.83%,22.50%,25.10%,24.15%,,,,,
2024-02-23,65.95%,47.76%,41.64%,20.67%,54.48%,25.18%,83.72%,10.44%,0.00%,45.41%,43.19%,25.04%,41.58%,22.83%,22.43%,25.52%,24.42%,,,,,
2024-03-01,69.11%,47.76%,42.72%,22.47%,57.89%,27.45%,83.72%,21.44%,30.81%,45.41%,46.49%,29.10%,48.91%,24.47%,24.41%,37.14%,30.63%,,,,,
2024-03-08,69.11%,47.76%,42.92%,22.80%,57.89%,27.59%,83.72%,21.59%,30.81%,45.62%,46.62%,31.70%,49.51%,24.00%,24.97%,38.12%,31.32%,,,,,
2024-03-15,69.13%,47.76%,42.92%,24.00%,57.89%,27.59%,83.72%,22.22%,32.28%,45.62%,46.62%,33.60%,50.46%,26.15%,25.02%,39.72%,32.62%,,,,,
2024-03-22,69.50%,50.16%,43.70%,25.08%,57.89%,27.59%,83.72%,22.93%,33.07%,45.62%,46.80%,33.90%,51.12%,27.32%,29.50%,40.68%,33.43%,,,,,
2024-03-29,70.31%,50.16%,42.91%,25.48%,58.44%,27.59%,83.72%,23.59%,33.16%,51.01%,46.30%,34.26%,51.93%,27.72%,31.12%,42.69%,34.18%,,,,,
2024-04-05,70.72%,50.16%,42.98%,25.67%,58.56%,27.59%,83.72%,24.17%,33.63%,51.01%,46.55%,35.02%,52.29%,28.25%,31.62%,47.08%,35.50%,,,,,
2024-04-12,71.77%,50.16%,43.06%,26.53%,58.56%,27.65%,83.72%,24.35%,36.14%,50.94%,46.74%,35.32%,52.83%,28.52%,32.66%,47.15%,35.88%,,,,,
2024-04-19,72.06%,50.16%,45.98%,26.98%,59.56%,29.46%,83.92%,25.52%,37.00%,50.94%,46.92%,38.12%,53.68%,28.87%,37.28%,47.29%,36.85%,,,,,
2024-04-26,73.22%,50.46%,46.65%,28.27%,62.32%,29.55%,84.12%,26.33%,39.82%,50.94%,49.40%,37.74%,54.07%,31.69%,37.41%,51.34%,38.34%,,,,,
2024-05-03,74.19%,52.15%,47.67%,31.44%,64.58%,29.47%,86.48%,27.95%,43.68%,51.61%,49.66%,39.60%,60.34%,35.50%,39.10%,54.09%,41.58%,,,,,
2024-05-10,76.39%,55.68%,47.68%,33.15%,64.59%,29.56%,88.30%,28.00%,45.78%,52.28%,50.10%,42.62%,61.45%,39.08%,41.34%,58.47%,43.87%,,,,,
2024-05-17,77.43%,55.85%,47.97%,35.45%,64.66%,29.65%,88.09%,37.55%,47.55%,52.28%,50.36%,44.62%,62.10%,40.53%,45.38%,60.61%,46.78%,,,,,
2024-05-24,79.58%,57.37%,47.92%,36.24%,64.98%,31.00%,88.09%,39.02%,49.47%,52.67%,49.53%,46.37%,62.67%,43.15%,48.22%,62.12%,48.12%,,,,,
2024-05-31,80.46%,57.37%,56.95%,42.84%,70.62%,32.41%,88.09%,41.27%,50.90%,53.47%,49.71%,46.96%,62.77%,45.99%,49.55%,64.41%,50.54%,,,,,
2024-06-07,83.40%,57.37%,57.20%,48.06%,70.72%,33.29%,88.09%,44.51%,51.96%,53.47%,51.67%,48.46%,63.62%,50.37%,51.51%,66.05%,53.33%,,,,,
2024-06-14,84.71%,58.30%,58.47%,50.28%,71.99%,34.10%,88.09%,46.47%,52.79%,53.54%,53.24%,50.74%,64.36%,55.15%,58.47%,66.28%,55.38%,,,,,
2024-06-21,85.01%,58.47%,59.93%,52.13%,73.96%,36.33%,88.09%,48.92%,53.15%,53.54%,53.71%,52.91%,64.71%,59.51%,62.11%,66.89%,57.33%,,,,,
2024-06-28,85.58%,59.79%,59.94%,61.53%,73.96%,40.49%,88.09%,50.02%,53.88%,53.54%,54.05%,55.87%,65.13%,64.17%,65.32%,69.03%,60.85%,,,,,
2024-07-05,86.86%,62.68%,61.39%,65.44%,75.71%,40.61%,88.09%,51.68%,54.90%,53.54%,54.12%,56.71%,66.63%,64.80%,65.86%,69.68%,62.45%,,,,,
